champ_name,role,games,win,loses,kill,death,assist,cs,csm,TotalGold,gold_per_m,goldshare,killp,kshare
Lillia,Jungle,26,11,15,2.5,2.69,5.54,206.15,6.12,11200.0,331,0.19,0.637,0.198
Graves,Jungle,19,9,10,4.16,2.32,4.37,238.11,7.09,12800.0,381,0.21600000000000003,0.6920000000000001,0.33799999999999997
Olaf,Jungle,15,10,5,5.2,2.67,5.8,201.07,6.05,12200.0,367,0.196,0.632,0.299
Nidalee,Jungle,13,7,6,2.69,1.77,4.69,221.54,6.31,12300.0,352,0.191,0.611,0.223
Udyr,Jungle,12,5,7,2.08,2.08,5.08,202.83,6.08,11100.0,334,0.191,0.6559999999999999,0.191
Hecarim,Jungle,10,5,5,1.9,2.5,7.2,182.7,5.59,10700.0,328,0.18899999999999997,0.6409999999999999,0.134
Pantheon,Jungle,8,4,4,3.75,3.25,8.25,186.38,5.94,11100.0,355,0.192,0.774,0.242
Taliyah,Jungle,7,6,1,4.57,2.29,8.14,215.71,6.98,12200.0,396,0.204,0.701,0.252
Jarvan IV,Jungle,7,4,3,1.43,3.14,8.71,161.71,4.88,10400.0,314,0.174,0.789,0.111
Skarner,Jungle,5,2,3,2,2.8,6.6,157.6,4.48,10500.0,298,0.172,0.652,0.152
Dr. Mundo,Jungle,2,0,2,3,2.5,1,189,5.99,10200.0,325,0.20800000000000002,0.8,0.6
Ivern,Jungle,1,1,0,0,0,9,156,5.66,8900.0,322,0.166,0.75,0.0
Kayn,Jungle,1,1,0,12,3,5,225,7.56,14200.0,477,0.235,0.708,0.5
Renekton,Top,23,10,13,2,2.83,5.35,281.22,8.17,12900.0,374,0.21,0.561,0.153
Ekko,Jungle,1,0,1,2,2,3,219,6.56,11300.0,339,0.207,1.0,0.4
Evelynn,Jungle,1,0,1,3,6,8,198,5.53,12700.0,354,0.192,0.524,0.14300000000000002
Gragas,Jungle,1,0,1,0,3,2,168,5.66,8300.0,281,0.174,0.5,0.0
Gragas,Top,22,11,11,2.18,2.05,5.5,225.59,6.95,11200.0,344,0.193,0.5579999999999999,0.158
Gnar,Top,15,5,10,2.27,2.4,5,254,7.73,12200.0,371,0.212,0.5710000000000001,0.17800000000000002
Aatrox,Top,10,9,1,4.9,1.3,5.3,266.3,8.08,14000.0,424,0.222,0.604,0.29
Camille,Top,9,3,6,2,3.44,4,250.78,7.78,11900.0,371,0.215,0.551,0.184
Kindred,Jungle,1,0,1,3,4,0,187,6.3,10600.0,358,0.22699999999999998,0.6,0.6
Ornn,Top,5,3,2,0.6,1.8,4.4,238,7.28,11000.0,337,0.195,0.5429999999999999,0.065
Volibear,Top,5,3,2,3.2,3.4,5.8,223,7.33,11300.0,370,0.203,0.556,0.198
Jayce,Top,4,3,1,3.75,1.5,6.75,296.5,8.94,14400.0,434,0.22699999999999998,0.6459999999999999,0.231
Shen,Top,4,2,2,1.5,1.25,9.75,233.25,7.01,11300.0,340,0.192,0.763,0.102
Sion,Top,4,0,4,1,4.25,4.5,224,6.73,10500.0,315,0.196,0.55,0.1
