league,mh
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1894664?gameHash=d4245306b2c6601d
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1894614?gameHash=236b31408c675cd7
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1894591?gameHash=f9775dbd7bc309b3
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1894569?gameHash=839aabb078beec41
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1894541?gameHash=8caae0c4f85bb217
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1894045?gameHash=ef16e7df941d2504
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1884045?gameHash=7b1ed63e58a3ccd9
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1570384?gameHash=029b61d7ff1eaa3a
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1560343?gameHash=fcc3e85c9f56cc8c
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1560336?gameHash=d9603d7a7ba79fc5
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1520522?gameHash=6a0075278ebbd52f
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1530539?gameHash=ad67aa9af6a70dbc
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1520514?gameHash=15252e8c36841b00
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1520505?gameHash=a9c6e3331b922314
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1520494?gameHash=5196e1103fca5fe8
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1530428?gameHash=06ab82180367233c
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1530423?gameHash=8034b29d72d3f736
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1520410?gameHash=f815f9ec5f8d4b3e
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1530405?gameHash=c0fe023eaeedc37c
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1520379?gameHash=89e2f04df673d384
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1764942?gameHash=2f2b605c44baf828
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1754970?gameHash=f55b2140a4bb8910
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1754904?gameHash=3a71eaf28f331153
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1764840?gameHash=83a3499b8bce5af1
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1764820?gameHash=f085e275b7263572
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1754457?gameHash=a841c367e99dcbd1
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1754443?gameHash=488d0b0a3c75867e
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1754407?gameHash=2d073dfbcdbc00b3
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1764293?gameHash=039f595663163868
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1754351?gameHash=0b966b8e774b0eb2
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1760883?gameHash=16d0dbc772d1913a
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1750741?gameHash=7dc92c2f58490aed
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1760771?gameHash=cbcb764c1ff26a16
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1750651?gameHash=378e94bdb9a589cd
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1760690?gameHash=bd08d601c10e0468
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1760404?gameHash=4fad4e9d9fc8f2b4
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1750317?gameHash=cc090a980842323d
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1750308?gameHash=7a5b634bb056c026
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1760330?gameHash=18319c70f249e273
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570290?gameHash=e62412a161eba2b3
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1695842?gameHash=6713a839781bfb27
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1686227?gameHash=7f0063b6cecf8ea2
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1686217?gameHash=2b736d0f68a15dff
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1821684?gameHash=fba6fd324a741064
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1831618?gameHash=2e6420da1c3ff488
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1831534?gameHash=153cb71f61c0eb7d
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1821528?gameHash=bee414378f753c12
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1821519?gameHash=b9d846e4a54f4e85
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1831485?gameHash=909ec019bf7f6fc3
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1821490?gameHash=444aeae3732ee093
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1830660?gameHash=d7ab5e0c402c72bd
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1830657?gameHash=201f41cf1148507a
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1820616?gameHash=32939638d1b9d8b6
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1830623?gameHash=6afa1727bcc42a84
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1830615?gameHash=9943a10219cd5842
