league,team,name_player,role,win,loses,kill,death,assist,kda,cs,csm,TotalGold,gold_per_m,goldshare,killp,kshare
LEC,G2 Esports,Mikyx,Support,11,2,0.92,4.15,12.08,3.13,61.46,1.78,9000.0,261,0.134,0.6709999999999999,0.048
LEC,Rogue (European Team),Trymbi,Support,11,2,0.62,2.85,10.31,3.84,47.46,1.39,8300.0,243,0.128,0.67,0.038
LEC,MAD Lions,Kaiser,Support,8,5,1.15,2.92,9.69,3.71,43.69,1.38,7700.0,245,0.133,0.746,0.079
LEC,SK Gaming,Treatz,Support,8,5,1.08,2.85,10.38,4.03,31.15,0.97,7600.0,236,0.132,0.847,0.08
LEC,Fnatic,Hylissang,Support,7,6,0.54,5.46,9.77,1.89,34.85,1.16,7300.0,241,0.13,0.609,0.032
LEC,FC Schalke 04 Esports,LIMIT,Support,5,8,0.69,3.08,6.54,2.35,61.62,1.79,8000.0,232,0.132,0.718,0.069
LEC,Excel Esports,Tore,Support,5,8,0.62,4.15,6.46,1.7,50.62,1.51,7500.0,224,0.134,0.736,0.064
LEC,Misfits Gaming,Vander,Support,5,8,0.85,3.15,8.08,2.83,33.62,1.03,7600.0,233,0.13,0.652,0.062
LEC,Astralis,promisq,Support,3,10,0.69,4.23,6.23,1.64,36.77,1.1,7400.0,221,0.134,0.647,0.065
LEC,Team Vitality,Labrov,Support,2,11,0.62,4,5.62,1.56,35.77,1,7600.0,213,0.128,0.6809999999999999,0.067
LEC,Rogue (European Team),Odoamne,Top,11,2,1.92,1.23,7.08,7.31,275.23,8.06,13000.0,380,0.201,0.552,0.11800000000000001
LEC,G2 Esports,Wunder,Top,11,2,2.77,2.92,8.77,3.95,274.08,7.92,13600.0,394,0.203,0.595,0.14300000000000002
LEC,MAD Lions,Armut,Top,8,5,3.62,2.31,4.46,3.5,245.54,7.78,12500.0,397,0.215,0.556,0.249
LEC,SK Gaming,Jenax,Top,8,5,2.92,1.85,5.62,4.63,249.54,7.73,12100.0,374,0.209,0.631,0.21600000000000003
LEC,Rogue (European Team),Hans sama,Bot,11,2,6.23,1.62,5.92,7.52,309,9.05,15900.0,465,0.245,0.745,0.382
LEC,Fnatic,Bwipo,Top,7,6,4,3.69,5.54,2.58,223.85,7.45,11800.0,391,0.21,0.564,0.23600000000000002
LEC,FC Schalke 04 Esports,BrokenBlade,Top,5,8,1.62,2.54,3.92,2.18,285.46,8.3,13100.0,382,0.218,0.55,0.16
LEC,Misfits Gaming,HiRit,Top,5,8,2.38,2.69,4.77,2.66,251.85,7.71,12100.0,372,0.207,0.522,0.174
LEC,G2 Esports,Rekkles,Bot,11,2,6.23,1,8,14.23,306.31,8.85,16200.0,468,0.24100000000000002,0.7340000000000001,0.321
LEC,MAD Lions,Carzzy,Bot,8,5,2.92,3.23,7.08,3.1,262.54,8.32,12800.0,404,0.21899999999999997,0.688,0.201
LEC,SK Gaming,Jezu,Bot,8,5,4.62,2.15,5.54,4.71,270.23,8.37,13000.0,402,0.225,0.75,0.341
LEC,Excel Esports,Kryze,Top,5,8,1.92,2,4.46,3.19,248.85,7.42,11800.0,351,0.209,0.664,0.2
LEC,Astralis,WhiteKnight,Top,3,10,2.15,3.15,4.38,2.07,226.62,6.81,11200.0,336,0.203,0.612,0.201
LEC,Team Vitality,Szygenda,Top,2,11,1.23,2.69,3.77,1.86,259.85,7.25,12200.0,339,0.203,0.546,0.134
LEC,Fnatic,Upset,Bot,7,6,5.46,1.85,5.85,6.13,274.31,9.13,13700.0,456,0.245,0.6679999999999999,0.32299999999999995
LEC,Misfits Gaming,Kobbe,Bot,5,8,3.38,1.62,4.62,4.95,292.62,8.96,13800.0,422,0.235,0.584,0.247
LEC,FC Schalke 04 Esports,Neon,Bot,5,8,3.92,2.31,3.46,3.2,289.31,8.41,14300.0,415,0.237,0.733,0.389
LEC,Excel Esports,Patrik,Bot,5,8,3.31,3,4.23,2.51,283.92,8.47,13500.0,403,0.24,0.784,0.344
LEC,Astralis,Jeskla,Bot,3,10,3.62,3,3.31,2.31,301.69,9.06,13600.0,409,0.247,0.647,0.33799999999999997
LEC,Team Vitality,Comp,Bot,1,6,2,2.86,3,1.75,353.86,9.61,15300.0,415,0.247,0.583,0.233
LEC,Team Vitality,Crownshot,Bot,1,5,3.67,2.67,3.17,2.56,350.5,10.11,15200.0,439,0.263,0.695,0.373
LCK,DRX,Becca,Support,17,16,0.73,3.27,7.03,2.37,42.64,1.26,7800.0,229,0.129,0.6920000000000001,0.065
LCK,T1,Keria,Support,17,16,0.91,2.88,7.82,3.03,41.61,1.28,7700.0,238,0.132,0.6990000000000001,0.073
LCK,Hanwha Life Esports,Vsta,Support,18,13,0.9,3.1,8.94,3.18,32.35,1.02,7500.0,235,0.127,0.659,0.06
LCK,Gen.G,Life,Support,21,9,0.67,2.5,7.2,3.15,30.43,0.94,7500.0,231,0.12300000000000001,0.584,0.05
LCK,KT Rolster,Zzus,Support,14,16,0.47,3.37,8,2.51,34.97,1,7700.0,221,0.12300000000000001,0.672,0.037000000000000005
LCK,Nongshim RedForce,Kellin,Support,11,19,0.53,3.23,6.97,2.32,34.1,1.07,7000.0,220,0.128,0.684,0.049
LCK,DWG KIA,BeryL,Support,22,7,1.07,3.62,9.17,2.83,52.86,1.55,8600.0,252,0.134,0.6859999999999999,0.07200000000000001
LCK,Afreeca Freecs,Lehends,Support,13,16,0.69,3.07,7.52,2.67,40.21,1.18,7900.0,232,0.131,0.682,0.057
LCK,Fredit BRION,Delight,Support,10,17,0.52,2.81,7.07,2.7,37.78,1.13,7400.0,220,0.129,0.785,0.054000000000000006
LCK,Liiv SANDBOX,Effort,Support,6,20,0.58,3.88,6.27,1.76,37.12,1.13,7100.0,216,0.125,0.616,0.052000000000000005
LCK,DRX,BAO,Bot,17,16,4.33,2.12,3.21,3.56,313.94,9.27,14500.0,429,0.24,0.6729999999999999,0.386
LCK,Hanwha Life Esports,Deft,Bot,18,13,4.61,2.45,5.03,3.93,291.16,9.13,13800.0,433,0.235,0.6459999999999999,0.309
LCK,Gen.G,Ruler,Bot,21,9,3.8,1.6,3.97,4.85,347.33,10.76,15100.0,466,0.249,0.5770000000000001,0.282
LCK,KT Rolster,HyBriD,Bot,14,16,4.43,2.27,3.23,3.38,332.3,9.49,15100.0,432,0.24100000000000002,0.608,0.35200000000000004
LCK,DRX,Kingen,Top,17,16,1.97,2.48,5.39,2.96,260.15,7.68,12900.0,380,0.213,0.657,0.17600000000000002
LCK,Nongshim RedForce,deokdam,Bot,11,19,4.43,2.2,2.87,3.32,297.13,9.32,13700.0,431,0.252,0.6659999999999999,0.40399999999999997
LCK,DWG KIA,Ghost,Bot,22,7,4.9,1.79,5.28,5.67,309.83,9.07,15400.0,450,0.23800000000000002,0.6809999999999999,0.32799999999999996
LCK,Afreeca Freecs,Bang,Bot,13,16,3.45,1.9,3.76,3.8,305.97,8.99,14100.0,415,0.235,0.599,0.287
LCK,Gen.G,Rascal,Top,21,9,2.9,2.27,5.03,3.5,287.3,8.9,13600.0,422,0.225,0.589,0.215
LCK,KT Rolster,Doran,Top,14,16,2.33,2.77,5.57,2.86,299.7,8.56,13900.0,397,0.222,0.627,0.185
LCK,Fredit BRION,Hena,Bot,10,17,3.63,2.15,4.15,3.62,340.59,10.17,14700.0,439,0.257,0.805,0.375
LCK,T1,Gumayusi,Bot,10,11,4.48,1.9,3.62,4.25,330.86,10.34,14700.0,458,0.256,0.711,0.39299999999999996
LCK,T1,Teddy,Bot,7,5,3.83,2.5,6,3.93,309.92,9.26,14800.0,442,0.24,0.682,0.266
LEC,Rogue (European Team),Inspired,Jungle,11,2,3.15,1.54,7.23,6.75,218.38,6.4,12100.0,354,0.187,0.637,0.193
LCK,Nongshim RedForce,Rich,Top,11,19,1.93,3.1,4.57,2.1,229.13,7.19,11100.0,347,0.203,0.593,0.17600000000000002
LCK,DWG KIA,Khan,Top,22,7,2,2.41,7.1,3.77,258.83,7.58,13000.0,382,0.20199999999999999,0.61,0.134
LCK,Afreeca Freecs,Kiin,Top,13,16,2.1,2.76,5.03,2.59,277.55,8.15,12900.0,380,0.215,0.593,0.175
LCK,Liiv SANDBOX,Route,Bot,3,8,2.91,2.36,3.91,2.88,295.36,8.98,13100.0,399,0.23,0.605,0.258
LCK,Liiv SANDBOX,Leo,Bot,3,6,2.89,2.67,3.44,2.38,295.56,8.95,13500.0,409,0.23199999999999998,0.504,0.23
LCK,Liiv SANDBOX,Prince,Bot,0,6,1.83,3,3.83,1.89,287,8.94,12300.0,383,0.22899999999999998,0.654,0.212
LEC,G2 Esports,Jankos,Jungle,11,2,5.38,2.23,6.54,5.34,227.62,6.58,13400.0,387,0.19899999999999998,0.615,0.278
LEC,MAD Lions,Elyoya,Jungle,8,5,4.31,2.31,6.38,4.63,203,6.43,11900.0,377,0.205,0.735,0.29600000000000004
LEC,SK Gaming,TynX,Jungle,8,5,2.62,1.77,6.92,5.39,206.77,6.41,11600.0,358,0.2,0.705,0.193
LCK,Fredit BRION,Hoya,Top,10,17,1.11,2.44,4.33,2.23,244.52,7.3,11100.0,331,0.19399999999999998,0.563,0.115
LCK,Liiv SANDBOX,Summit,Top,6,20,2.58,3.04,4.54,2.34,262.92,8.03,12300.0,377,0.218,0.64,0.23199999999999998
LCK,Hanwha Life Esports,Morgan,Top,17,6,2.26,2.04,7.04,4.55,248.52,7.69,12300.0,379,0.2,0.56,0.136
LEC,Fnatic,Selfmade,Jungle,7,6,4.15,2.92,6.46,3.63,200.69,6.68,11400.0,380,0.205,0.627,0.245
LEC,Excel Esports,Dan,Jungle,5,8,2.08,2.77,4.38,2.33,193.62,5.78,10800.0,321,0.191,0.672,0.21600000000000003
LEC,FC Schalke 04 Esports,Gilius,Jungle,5,8,1.23,3.08,5.62,2.23,194.62,5.66,10800.0,314,0.18,0.679,0.122
LCK,T1,Zeus,Top,10,7,2.24,2.65,5.29,2.84,234.82,7.58,11500.0,370,0.204,0.601,0.17800000000000002
LCK,T1,Canna,Top,7,9,2.38,3.06,4.56,2.27,280.44,8.21,13200.0,388,0.215,0.5579999999999999,0.191
LCK,Hanwha Life Esports,DuDu,Top,1,7,2.75,2.5,2.88,2.25,256.88,8.38,11900.0,387,0.226,0.556,0.272
LEC,Misfits Gaming,Razork,Jungle,5,8,4.08,3.23,5.62,3,208.54,6.39,12000.0,367,0.204,0.708,0.298
LEC,Astralis,Zanzarah,Jungle,3,10,1.69,3.54,5.08,1.91,175.62,5.27,10100.0,305,0.184,0.633,0.158
LEC,Team Vitality,Skeanz,Jungle,2,11,2.77,1.85,3.77,3.54,209.08,5.83,11600.0,324,0.193,0.7140000000000001,0.303
LCK,DRX,SOLKA,Mid,17,16,1.7,1.79,5.97,4.29,292.91,8.65,12700.0,374,0.21,0.684,0.151
LCK,Hanwha Life Esports,Chovy,Mid,18,13,3.81,1.9,6.45,5.39,319.06,10.01,14500.0,454,0.24600000000000002,0.687,0.255
LCK,Nongshim RedForce,Bay,Mid,11,19,1.37,2.57,5.4,2.64,259.83,8.15,11400.0,358,0.209,0.617,0.125
LCK,DWG KIA,ShowMaker,Mid,22,7,3.62,1.86,6.59,5.48,310.07,9.08,14400.0,423,0.22399999999999998,0.684,0.242
LCK,Afreeca Freecs,Fly,Mid,13,16,2,2.45,5.86,3.21,281.79,8.28,12800.0,375,0.212,0.653,0.166
LCK,Gen.G,Bdd,Mid,20,7,3.07,1.63,5.67,5.36,288,8.95,13000.0,405,0.215,0.618,0.217
LCK,Liiv SANDBOX,FATE,Mid,6,20,2.92,1.96,5.54,4.31,295.85,9.03,13100.0,401,0.23199999999999998,0.7609999999999999,0.263
LCK,KT Rolster,Ucal,Mid,10,14,3.08,2.29,5.58,3.78,331.92,9.42,14500.0,410,0.23,0.66,0.235
LCK,Fredit BRION,Lava,Mid,8,15,1.87,2.13,5.78,3.59,295.48,8.66,13000.0,380,0.222,0.7859999999999999,0.192
LCK,T1,Clozer,Mid,10,9,2.58,2.58,5.32,3.06,303.21,9.15,13500.0,406,0.221,0.602,0.19699999999999998
LCK,T1,Faker,Mid,7,7,2.5,1.79,5.29,4.36,261.79,8.26,12200.0,384,0.217,0.669,0.215
LEC,G2 Esports,Caps,Mid,11,2,4.08,1.92,7.69,6.12,306.62,8.86,15000.0,435,0.22399999999999998,0.607,0.21
LEC,Rogue (European Team),Larssen,Mid,11,2,4.38,1,6.77,11.15,327.62,9.59,15500.0,452,0.239,0.684,0.26899999999999996
LCK,KT Rolster,Dove,Mid,4,2,2.5,2,4.33,3.42,314.5,9.21,13800.0,405,0.22,0.6509999999999999,0.23800000000000002
LCK,Gen.G,Karis,Mid,1,2,0.67,2,2.67,1.67,288.33,8.66,11800.0,356,0.20199999999999999,0.455,0.091
LCK,Fredit BRION,Yaharong,Mid,2,0,5,0.5,7.5,25,305,8.8,14300.0,411,0.221,0.735,0.294
LEC,SK Gaming,Blue,Mid,8,5,2.31,2.08,6.46,4.22,304.08,9.42,13500.0,418,0.23399999999999999,0.648,0.17
LEC,MAD Lions,Humanoid,Mid,8,5,2.54,3.54,6.92,2.67,291.08,9.22,13300.0,420,0.228,0.6509999999999999,0.175
LCK,Fredit BRION,Chieftain,Mid,0,2,0.5,4,0.5,0.25,194,7.76,7900.0,316,0.225,0.667,0.33299999999999996
LCS,Cloud9,Fudge,Top,10,2,2.75,1.58,7.17,6.26,218.25,7.24,11400.0,379,0.196,0.551,0.153
LCS,TSM,Huni,Top,8,4,1.92,2.25,6.33,3.67,262.42,7.66,13200.0,385,0.21,0.6779999999999999,0.158
LEC,Fnatic,Nisqy,Mid,7,6,2.77,3,7.62,3.46,242.08,8.05,11700.0,391,0.21,0.614,0.16399999999999998
